datetime,T2M_mean,T2M_max,T2M_std,T2MDEW_mean,T2MWET_mean,QV2M_mean,QV2M_max,RH2M_mean,RH2M_max,PRECTOTCORR_sum,PRECTOTCORR_max,PS_mean,PS_min,PS_std,WS10M_mean,WS10M_max,WD10M_mean,WS50M_mean,WS50M_max,WD50M_mean,WSC_mean,WSC_max,temp_dewpoint_diff_mean,temp_dewpoint_diff_max,temp_wetbulb_diff_mean,temp_wetbulb_diff_max,instability_score_mean,instability_score_max,convective_potential_mean,convective_potential_max,atmospheric_instability_mean,atmospheric_instability_max,moisture_flux_mean,moisture_flux_max,wind_shear_mean,wind_shear_max,thermal_instability_mean,thermal_instability_max,combined_risk_score_mean,combined_risk_score_max,relative_humidity_high_sum,temperature_high_sum,pressure_low_sum,wind_strong_sum,has_precipitation_sum,is_dry_season_max,is_monsoon_season_max,is_transition_month_max,afternoon_peak_sum,high_risk_months_max,weekend_max,month,day,day_of_year,week_of_year,month_sin,month_cos,hour_sin_mean,hour_cos_mean,day_of_year_sin,day_of_year_cos,actual_lightning,hour_block,lightning_risk_score,risk_level
2019-01-01 06:00:00,26.471666666666668,26.94,0.5839663232299159,20.463333333333335,23.46666666666667,14.916666666666666,15.03,69.54166666666667,73.13,0.0,0.0,101.175,101.09,0.0845576726264272,6.9750000000000005,7.31,34.15,8.061666666666666,8.7,34.5,6.331666666666667,6.83,6.008333333333334,6.350000000000001,3.0050000000000003,3.1700000000000017,0.0,0,0.0,0.0,1.8372625000000002,2.0218400000000005,104.0238,107.96869999999998,1.0866666666666667,1.6499999999999997,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.4999999999999999,0.8660254037844387,0.7163128427270959,-0.5496461760604291,0.0172133561558346,0.9998518392091162,0,1,0.0,Very Low
2019-01-01 12:00:00,23.810000000000002,24.56,0.5089990176807807,19.98,21.895,14.455,14.64,79.13333333333334,81.95,0.0,0.0,101.37166666666667,101.28,0.053820689949753066,6.545000000000001,6.81,44.9,8.935,9.13,44.666666666666664,7.016666666666667,7.17,3.83,4.389999999999997,1.9149999999999998,2.2,0.3333333333333333,1,1.1233333333333337,3.5,0.8060545,1.0307719999999996,94.62163333333332,98.9493,2.39,2.49,0.0,0.0,2.0,3,2,0,0,0,0,1,0,0,5,0,0,1,1,1,1,0.4999999999999999,0.8660254037844387,-0.5496461760604291,-0.716312842727096,0.0172133561558346,0.9998518392091162,0,2,0.0,Very Low
2019-01-01 18:00:00,22.738333333333333,22.99,0.1584192749215392,19.801666666666666,21.27,14.318333333333333,14.41,83.44833333333334,83.89,0.0,0.0,101.17666666666666,101.1,0.06860515043834126,5.445,5.87,48.949999999999996,7.8116666666666665,8.35,48.96666666666667,6.135000000000001,6.56,2.936666666666666,3.0699999999999967,1.4683333333333337,1.5399999999999991,1.0,1,2.936666666666666,3.0699999999999967,0.4863195,0.5280399999999995,77.98843333333333,84.58670000000001,2.3666666666666667,2.4799999999999995,0.0,0.0,1.0,1,6,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.4999999999999999,0.8660254037844387,-0.716312842727096,0.549646176060429,0.0172133561558346,0.9998518392091162,0,3,0.0,Very Low
2019-01-02 00:00:00,24.48166666666667,26.23,1.434997096396597,19.676666666666666,22.08,14.161666666666667,14.37,74.80666666666666,83.45,0.0,0.0,101.45666666666666,101.3,0.09811557810392743,6.123333333333334,7.09,39.36666666666667,7.505,8.1,39.516666666666666,5.895,6.36,4.805000000000001,6.650000000000002,2.4016666666666673,3.330000000000002,0.3333333333333333,1,1.0416666666666667,3.3200000000000003,1.2971478333333335,2.211125000000001,86.65778333333333,99.8272,1.3816666666666666,2.26,0.0,0.0,0.3333333333333333,1,2,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0.4999999999999999,0.8660254037844387,0.5496461760604292,0.7163128427270959,0.0344216116227457,0.9994074007397048,0,0,0.0,Very Low
2019-01-02 06:00:00,26.438333333333333,26.81,0.4838353714505237,19.48,22.959999999999997,14.028333333333334,14.11,65.54,69.51,0.0,0.0,101.13166666666666,101.05,0.0861200712184312,7.016666666666667,7.5,37.766666666666666,8.205,8.59,38.166666666666664,6.446666666666666,6.75,6.958333333333333,7.349999999999998,3.4783333333333335,3.669999999999998,0.0,0,0.0,0.0,2.4066275,2.645264999999999,98.42496666666666,105.45,1.188333333333333,1.63,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0.4999999999999999,0.8660254037844387,0.7163128427270959,-0.5496461760604291,0.0344216116227457,0.9994074007397048,0,1,0.0,Very Low
2019-01-02 12:00:00,23.851666666666663,24.45,0.35216000151446364,19.45,21.651666666666667,13.961666666666666,14.15,76.29166666666667,77.65,0.0,0.0,101.42999999999999,101.27,0.08988882021698588,4.846666666666667,5.12,42.083333333333336,6.984999999999999,7.31,41.71666666666667,5.486666666666667,5.74,4.4016666666666655,4.809999999999999,2.199999999999999,2.3999999999999986,0.0,0,0.0,0.0,1.0458341666666664,1.2284739999999998,67.68203333333334,72.44800000000001,2.138333333333333,2.1899999999999995,0.0,0.0,1.6666666666666667,2,0,0,0,0,0,1,0,0,5,0,0,1,2,2,1,0.4999999999999999,0.8660254037844387,-0.5496461760604291,-0.716312842727096,0.0344216116227457,0.9994074007397048,0,2,0.0,Very Low
2019-01-02 18:00:00,22.99,23.38,0.31317726609701435,19.186666666666667,21.088333333333335,13.761666666666665,13.92,79.11,79.73,0.0,0.0,101.29333333333334,101.22,0.06831300510640266,5.18,5.28,41.68333333333333,7.5183333333333335,7.67,41.233333333333334,5.905,6.02,3.8033333333333323,3.9899999999999984,1.9016666666666662,1.9899999999999984,0.0,0,0.0,0.0,0.7950793333333332,0.8682239999999999,71.27116666666667,72.48780000000001,2.3383333333333334,2.4000000000000004,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0.4999999999999999,0.8660254037844387,-0.716312842727096,0.549646176060429,0.0344216116227457,0.9994074007397048,0,3,0.0,Very Low
2019-01-03 00:00:00,24.895,26.69,1.6808777468929723,19.198333333333334,22.045,13.743333333333334,14.11,70.83666666666666,79.03,0.0,0.0,101.51166666666666,101.37,0.08612007121842287,6.161666666666666,6.81,38.48333333333333,7.646666666666667,7.81,38.449999999999996,6.005,6.13,5.696666666666668,7.060000000000002,2.850000000000001,3.530000000000001,0.0,0,0.0,0.0,1.7286773333333336,2.4604100000000004,84.81628333333333,96.0891,1.485,2.3599999999999994,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,1,0.4999999999999999,0.8660254037844387,0.5496461760604292,0.7163128427270959,0.0516196672232537,0.998666816288476,0,0,0.0,Very Low
2019-01-03 06:00:00,26.636666666666667,27.07,0.5585576663753425,19.724999999999998,23.180000000000003,14.241666666666667,14.36,65.79,69.42,0.0,0.0,101.185,101.09,0.11113055385446342,6.616666666666667,6.76,29.616666666666664,7.683333333333334,8.21,29.96666666666667,6.036666666666666,6.45,6.911666666666668,7.25,3.456666666666667,3.620000000000001,0.0,0,0.0,0.0,2.371945,2.57375,94.2274,95.8352,1.0666666666666667,1.6800000000000006,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,1,0.4999999999999999,0.8660254037844387,0.7163128427270959,-0.5496461760604291,0.0516196672232537,0.998666816288476,0,1,0.0,Very Low
2019-01-03 12:00:00,23.705,24.26,0.33596130729594603,19.285,21.496666666666666,13.831666666666665,14.09,76.22500000000001,77.08,0.0,0.0,101.39333333333333,101.24,0.09003702941938764,6.298333333333333,6.37,37.86666666666667,9.025,9.11,37.666666666666664,7.09,7.16,4.420000000000001,4.700000000000003,2.208333333333334,2.3500000000000014,0.0,0,0.0,0.0,1.0518615,1.1759400000000004,87.11309999999999,88.86149999999999,2.7266666666666666,2.799999999999999,0.0,0.0,1.6666666666666667,2,0,0,0,0,0,1,0,0,5,0,0,1,3,3,1,0.4999999999999999,0.8660254037844387,-0.5496461760604291,-0.716312842727096,0.0516196672232537,0.998666816288476,0,2,0.0,Very Low
