time,noise level,WindSpeed at 80m,Wind Direction,power out,Rotor Speed,pitch angle
1/1/2022 0:11,44.89822153,5,198.1423757,102.5739,11.0981,-2.051
1/1/2022 0:11,44.5698765,5,198.1301892,77.6449,11.103,-2.051
1/1/2022 0:11,44.73788871,4,198.1043063,85.6585,11.1166,-2.051
1/1/2022 0:12,44.37604892,5,198.1054787,90.6937,11.1132,-1.8335
1/1/2022 0:12,44.39651255,4,198.0941982,96.2951,11.1172,-0.8857
1/1/2022 0:12,45.06012489,5,198.0972093,103.7968,11.1147,-0.886
1/1/2022 0:12,44.48681776,5,198.0931413,118.275,11.1166,-0.886
1/1/2022 0:12,44.23463662,5,198.0940384,91.1953,11.0856,-0.886
1/1/2022 0:12,44.35695115,6,198.0994921,87.8663,11.1195,-0.886
1/1/2022 0:13,43.92668831,5,198.0946957,70.2371,11.0885,-0.886
1/1/2022 0:13,44.27745993,5,198.0902812,96.9779,11.1329,-0.886
1/1/2022 0:13,44.58025119,5,198.0930169,115.5006,11.1097,-0.886
1/1/2022 0:13,44.84818494,5,198.0943581,140.0474,11.1458,-0.886
1/1/2022 0:13,44.83249545,5,198.0985683,129.2829,11.1005,-1.4195
1/1/2022 0:13,44.60028819,4,198.0935676,129.9349,11.1145,-2.06
1/1/2022 0:14,44.321001,4,198.0884425,121.1026,11.1032,-2.06
1/1/2022 0:14,45.28219473,4,198.0987371,112.5516,11.1068,-2.06
1/1/2022 0:14,44.65865588,4,198.0943848,70.8798,11.083,-2.06
1/1/2022 0:14,45.32641882,4,198.0920932,52.0515,11.1055,-2.06
1/1/2022 0:14,45.03622895,4,198.0832286,50.2748,11.1137,-2.06
1/1/2022 0:14,45.87442883,4,197.8653731,47.7843,11.1111,-0.9978
1/1/2022 0:15,45.81374979,5,197.8100277,50.3713,11.1101,-0.953
1/1/2022 0:15,46.46445227,5,197.8243992,41.6858,11.1113,-0.953
1/1/2022 0:15,46.34988602,5,197.8237686,47.234,11.118,-0.953
1/1/2022 0:15,46.16220496,5,197.8172312,75.534,11.1246,-0.953
1/1/2022 0:15,47.15694435,5,197.8144067,88.9224,11.1123,-0.953
1/1/2022 0:15,47.3712026,4,197.8098856,98.0389,11.1157,-0.953
1/1/2022 0:16,45.80834032,4,197.7290391,99.6913,11.1079,-0.953
1/1/2022 0:16,45.35196967,5,197.7274403,91.4785,11.1138,-0.953
1/1/2022 0:16,45.04883484,5,197.7647103,88.6917,11.1076,-0.953
1/1/2022 0:16,44.92628957,5,197.7658206,88.8816,11.1181,-0.953
1/1/2022 0:16,44.80776232,5,197.7501878,49.2781,11.1185,-0.953
1/1/2022 0:16,44.50474131,5,197.7486867,65.5799,11.1179,-0.953
1/1/2022 0:16,44.07206116,4,197.7299185,70.7281,11.1109,-0.953
1/1/2022 0:17,44.47559267,4,197.7265166,75.1247,11.1207,-0.953
1/1/2022 0:17,44.84036333,4,197.7374507,67.3039,11.0928,-0.953
1/1/2022 0:17,44.74734215,4,197.7314462,50.8629,11.1071,-0.953
1/1/2022 0:17,45.60338079,5,197.7327786,53.8398,11.1186,-0.953
1/1/2022 0:17,45.87569938,4,197.7288437,69.4179,11.116,-0.953
1/1/2022 0:17,48.40941791,4,197.7301494,66.9307,11.1051,-0.953
1/1/2022 0:18,46.36962898,4,197.7372908,80.4916,11.1239,-0.953
