Model,MSE_Power,MSE_RPM,MSE_Noise,MAE_Power,MAE_RPM,MAE_Noise,R2_weighted
Linear,1750588.6031495254,52.91307500932673,142.2534139845959,1259.9220027118415,6.949251509378612,11.392742143766066,-5.6315095892777425
MLP,40248.41059766471,1.9486479457089378,5.70094030492148,131.72433920857904,0.8722573324801942,1.6967410150640263,0.8475206054688538
RandomForest,22462.4218836912,0.987945001250468,3.053701813695096,89.14950842998877,0.5212666140133552,1.167726961423897,0.9149029303770214
XGBoost,23883.80859375,1.0666178464889526,3.353008985519409,98.33517456054688,0.5982391834259033,1.2747523784637451,0.9095175862312317
